12/25/2008,The Curious Case of Benjamin Button,160000000.00,127509326.00
7/14/2010,The Sorcerer's Apprentice,160000000.00,63150991.00
5/12/2006,Poseidon,160000000.00,60674817.00
12/10/2010,The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000.00,104386950.00
7/1/2015,Terminator: Genisys,155000000.00,89760956.00
11/24/2004,Alexander,155000000.00,34297191.00
5/25/2001,Pearl Harbor,151500000.00,198539855.00
7/2/2007,Transformers,151000000.00,319071806.00
11/22/2013,Frozen,150000000.00,400738009.00
7/11/2007,Harry Potter and the Order of the Phoenix,150000000.00,292004738.00
11/18/2005,Harry Potter and the Goblet of Fire,150000000.00,290013036.00
5/15/2003,The Matrix Reloaded,150000000.00,281553689.00
12/14/2007,I am Legend,150000000.00,256393010.00
7/1/2008,Hancock,150000000.00,227946274.00
7/15/2005,Charlie and the Chocolate Factory,150000000.00,206459076.00
6/29/2007,Ratatouille,150000000.00,206445654.00
11/8/2013,Thor: The Dark World,150000000.00,206360018.00
6/15/2005,Batman Begins,150000000.00,205343774.00
7/31/2015,Mission: Impossible - Rogue Nation,150000000.00,194522893.00
5/6/2011,Thor,150000000.00,181030624.00
11/7/2008,Madagascar: Escape 2 Africa,150000000.00,180010950.00
5/1/2009,X-Men Origins: Wolverine,150000000.00,179883157.00
5/22/2009,Night at the Museum: Battle of the Smithsonian,150000000.00,177243721.00
5/26/2011,Kung Fu Panda 2,150000000.00,165249063.00
5/15/2015,Mad Max: Fury Road,150000000.00,153636354.00
11/5/2003,The Matrix Revolutions,150000000.00,139259759.00
5/5/2006,Mission: Impossible III,150000000.00,133501348.00
5/15/2009,Angels & Demons,150000000.00,133375846.00
5/14/2004,Troy,150000000.00,133298577.00
7/1/2010,The Last Airbender,150000000.00,131601062.00
11/2/2007,Bee Movie,150000000.00,126631277.00
7/24/2009,G-Force,150000000.00,119436770.00
11/21/2008,Bolt,150000000.00,114053759.00
3/30/2012,Wrath of the Titans,150000000.00,83670083.00
11/16/2007,Beowulf,150000000.00,82195215.00
5/11/2012,Dark Shadows,150000000.00,79727149.00
6/28/2013,White House Down,150000000.00,73103784.00
2/12/2010,The Wolfman,150000000.00,61979680.00
3/11/2011,Mars Needs Moms,150000000.00,21392758.00
6/15/2005,Batman Begins (IMAX),150000000.00,15900000.00
12/21/2016,Passengers,150000000.00,0.00
11/3/2006,Flushed Away,149000000.00,64665672.00
6/8/2012,Madagascar 3: Europe's Most Wanted,145000000.00,216391482.00
12/16/2011,Mission: Impossible - Ghost Protocol,145000000.00,209397903.00
6/13/2014,How to Train Your Dragon 2,145000000.00,177002924.00
6/16/1999,Tarzan,145000000.00,171091819.00
3/7/2014,Mr. Peabody & Sherman,145000000.00,111506430.00
11/21/2012,Rise of the Guardians,145000000.00,103412758.00
4/8/2005,Sahara,145000000.00,68671925.00
11/22/2002,Die Another Day,142000000.00,160932247.00
5/8/2009,Star Trek,140000000.00,257730019.00
7/1/1998,Armageddon,140000000.00,201573391.00
7/3/2002,Men in Black 2,140000000.00,190418803.00
7/22/2011,Captain America: The First Avenger,140000000.00,176654505.00
7/10/1998,Lethal Weapon 4,140000000.00,129734803.00
3/27/2013,G.I. Joe: Retaliation,140000000.00,122523060.00
12/5/2003,The Last Samurai,140000000.00,111110575.00
12/21/2005,Fun With Dick And Jane,140000000.00,110550000.00
12/12/2014,Exodus: Gods and Kings,140000000.00,65014513.00
5/3/2002,Spider-Man,139000000.00,403706375.00
3/6/2009,Watchmen,138000000.00,107509799.00
7/29/2005,Stealth,138000000.00,31704416.00
6/13/2008,The Incredible Hulk,137500000.00,134533885.00
6/20/2003,Hulk,137000000.00,132177234.00
7/11/2001,Final Fantasy: The Spirits Within,137000000.00,32131830.00
11/16/2012,The Twilight Saga: Breaking Dawn Part 2,136200000.00,292324737.00
10/1/2012,The Croods,135000000.00,187168425.00
11/19/1999,The World is Not Enough,135000000.00,126930660.00
3/4/2011,Rango,135000000.00,123257581.00
11/14/2003,Master and Commander: The Far Side of the World,135000000.00,93926386.00
7/17/2013,Turbo,135000000.00,83028130.00
11/18/2011,Happy Feet Two,135000000.00,64006466.00
7/28/2006,Miami Vice,135000000.00,63450470.00
6/29/2005,War of the Worlds,132000000.00,234280354.00
11/26/2014,Penguins of Madagascar,132000000.00,83350911.00
11/22/2013,The Hunger Games: Catching Fire,130000000.00,424668047.00
6/4/2004,Harry Potter and the Prisoner of Azkaban,130000000.00,249538952.00
8/3/2007,The Bourne Ultimatum,130000000.00,227471070.00
6/6/2008,Kung Fu Panda,130000000.00,215434591.00
7/17/2015,Ant-Man,130000000.00,178636091.00
3/27/2015,Home,130000000.00,177397510.00
10/28/2011,Puss in Boots,130000000.00,149260504.00
11/5/2010,Megamind,130000000.00,148415853.00
7/18/2003,Bad Boys II,130000000.00,138540870.00
4/11/2014,Rio 2,130000000.00,131538435.00
7/23/2010,Salt,130000000.00,118311368.00
3/28/2014,Noah,130000000.00,101200044.00
12/21/2011,The Adventures of Tintin,130000000.00,77591831.00
5/31/2013,After Earth,130000000.00,60522097.00
11/26/2008,Australia,130000000.00,49554002.00
7/19/2013,R.I.P.D.,130000000.00,33618855.00
11/18/2011,The Twilight Saga: Breaking Dawn Part 1,127500000.00,281287133.00
5/19/2000,Dinosaur,127500000.00,137748063.00
12/19/2014,Night at the Museum: Secret of the Tomb,127000000.00,113746621.00
7/15/2011,Harry Potter and the Deathly Hallows: Part II,125000000.00,381011219.00
11/21/2014,The Hunger Games: Mockingjay - Part 1,125000000.00,337135885.00
11/16/2001,Harry Potter and the Sorcerers Stone,125000000.00,317575550.00
